task_id,phase,sprint,module,priority,depends_on,status,title,deliverables,acceptance,human_review,last_updated
SYS-001,system,S00,cross-cutting,1,,evidence-ready,Repository bootstrap,"README; AGENTS; continuous mission; queue; orchestrator; validation; workflow","core scaffolding exists; queue validates; first runnable task is deterministic",human-review-for-secret-and-actions,2026-06-26
SYS-002,baseline,S00,cross-cutting,2,SYS-001,not-started,Evidence-based learner baseline instrument,"baseline questionnaire; scoring rubric; 78-competency evidence map; primary-secondary track decision aid","covers all competencies; self-rating alone cannot certify L3+; reviewer fields included",required-for-final-levels,2026-06-26
SYS-003,baseline,S00,cross-cutting,3,SYS-001,not-started,First public reproducibility project,"lawful public or synthetic dataset case; data dictionary; one table; one figure; one main model; reproduction log","clean rebuild works; discrepancies documented; no result tuning; license and provenance recorded",required-if-source-or-license-unclear,2026-06-26
SYS-004,baseline,S00,cross-cutting,4,SYS-003,not-started,Independent clean-environment reproduction protocol,"reproduction checklist; clean-run script; expected-output manifest; failure postmortem","independent run instructions complete; hidden manual steps detectable",independent-review-required,2026-06-26
S01-001,foundations,S01,01-common-foundations,10,SYS-002,not-started,Question-type and estimand learning package,"case bank; concept map; question transformations; estimand exercises; rubric","descriptive causal predictive diagnostic mechanistic and decision cases covered; transfer exam included",method-review-recommended,2026-06-26
S02-001,foundations,S02,01-common-foundations,11,S01-001,not-started,Study-design bias and DAG laboratory,"design comparison cases; DAG exercises; collider mediator selection cases; answer keys","at least one flawed case per major bias; adjustment decisions justified",method-review-recommended,2026-06-26
S03-001,foundations,S03,01-common-foundations,12,S02-001,not-started,Ethics literature and data-governance laboratory,"ethics scenarios; DMP; CRF; data dictionary; search exercise; AI-use log","no real sensitive data; institutional-decision boundaries explicit; sources recorded",ethics-and-governance-review-required,2026-06-26
S04-001,statistics,S04,02-medical-statistics,20,S03-001,not-started,Probability estimation and inference simulation lab,"coverage and power simulations; P-value misconceptions; bootstrap and permutation exercises","deterministic simulations; flawed interpretations corrected",statistics-review-recommended,2026-06-26
S05-001,statistics,S05,02-medical-statistics,21,S04-001,not-started,Generalized linear model laboratory,"linear logistic Poisson negative-binomial nonlinear and interaction cases; diagnostics","estimands and scales explicit; common failure cases included",statistics-review-recommended,2026-06-26
S06-001,statistics,S06,02-medical-statistics,22,S05-001,not-started,Survival longitudinal and multilevel laboratory,"survival; competing risk; mixed model; GEE; clustering cases","statistical units correct; assumptions diagnosed",statistics-review-recommended,2026-06-26
S07-001,statistics,S07,02-medical-statistics,23,S06-001,not-started,Missingness measurement multiplicity and sample-size lab,"MAR and MNAR simulations; measurement-error case; multiplicity plan; simulation-based sample size","sensitivity analyses included; post-hoc power rejected; SAP and blank outputs produced",real-study-sample-size-requires-human,2026-06-26
S08-001,clinical-observational,S08,03-clinical-observational-rwe-causal,30,S07-001,not-started,Observational cohort and complex-survey laboratory,"cohort construction; survey-weighted case; STROBE checklist; missingness and flow diagram","time order and target population explicit; reproducible cohort code",data-authorization-required-for-real-data,2026-06-26
S09-001,causal,S09,03-clinical-observational-rwe-causal,31,S08-001,not-started,Target-trial and baseline-confounding laboratory,"target trial table; DAG; standardization; matching or weighting; overlap diagnostics","time zero aligned; balance and positivity reported; causal nonclaims explicit",causal-identification-review-required,2026-06-26
S10-001,causal,S10,03-clinical-observational-rwe-causal,32,S09-001,not-started,Time-varying causal methods and bias-sensitivity lab,"MSM or g-formula simulation; negative-control concept; quantitative bias exercises","treatment-confounder feedback represented; weight diagnostics documented",causal-identification-review-required,2026-06-26
S11-001,causal,S11,03-clinical-observational-rwe-causal,33,S10-001,not-started,Quasi-experimental and RWE capstone,"DiD or ITS case; protocol; SAP; main and sensitivity analyses; checklist","identification assumptions tested where possible; alternative explanations ranked",causal-identification-review-required,2026-06-26
S12-001,trials,S12,04-clinical-trials,40,S11-001,not-started,Clinical-trial design package,"superiority and noninferiority protocols; estimand table; randomization; CRF; sample-size simulation","allocation concealment and intercurrent events explicit; no real trial approval claimed",trial-method-and-ethics-review-required,2026-06-26
S13-001,trials,S13,04-clinical-trials,41,S12-001,not-started,Trial analysis monitoring and complex-design lab,"simulated trial; SAP; missingness; multiplicity; CONSORT flow; safety exercise","primary analysis reproducible; safety boundaries clear",trial-safety-review-required,2026-06-26
S14-001,diagnostic,S14,05-diagnostic-prognostic-prediction-ai,50,S13-001,not-started,Diagnostic-accuracy and biomarker laboratory,"intended-use protocol; reference-standard cases; threshold analysis; STARD and QUADAS exercises","spectrum verification and threshold bias addressed; clinical consequences reported beyond AUC",clinical-context-review-recommended,2026-06-26
S15-001,prediction-ai,S15,05-diagnostic-prognostic-prediction-ai,51,S14-001,not-started,Prediction and medical-AI leakage laboratory,"leakage fault cases; nested validation; calibration; decision curve; external validation; model card","patient time and center leakage prevented; preprocessing nested; utility mandatory",deployment-review-required-for-real-use,2026-06-26
S16-001,basic-research,S16,06-basic-translational,60,S15-001,not-started,Basic-experiment design and rigor laboratory,"experimental-unit cases; randomization and blinding; batch layouts; resource-authentication records","technical and biological replication separated; pseudoreplication correction demonstrated",animal-or-human-experiment-review-required,2026-06-26
S17-001,translational,S17,06-basic-translational,61,S16-001,not-started,Mechanism and orthogonal-validation laboratory,"dose-time-factorial case; necessity sufficiency rescue and falsification plans; hierarchical analysis","claims match evidence; alternative mechanisms and validation specified",experimental-review-required-for-real-study,2026-06-26
S18-001,omics,S18,07-bioinformatics-omics,70,S17-001,not-started,Bulk RNA-seq reproducible laboratory,"sample sheet; QC; design matrix; differential analysis; enrichment; versioned workflow","batch confounding and identifiability checked; correct gene universe",controlled-data-review-if-applicable,2026-06-26
S19-001,omics,S19,07-bioinformatics-omics,71,S18-001,not-started,Multi-donor single-cell and workflow laboratory,"cell QC; annotation evidence; pseudobulk or donor-level model; integration sensitivity; workflow logs","donor is inferential unit; cell-count pseudoreplication corrected",controlled-data-review-if-applicable,2026-06-26
S20-001,evidence-synthesis,S20,08-systematic-review-meta,80,S19-001,not-started,Systematic-review protocol search and bias laboratory,"update-value assessment; protocol; reproducible search; screening and extraction calibration; bias tools","study and report IDs separated; double-process simulated; current official methods recorded",information-specialist-review-recommended,2026-06-26
S21-001,evidence-synthesis,S21,08-systematic-review-meta,81,S20-001,not-started,Meta-analysis heterogeneity and GRADE laboratory,"effect-size cases; random effects; prediction interval; dependent effects; subgroup; GRADE","non-poolable cases identified; duplicate cohorts and shared controls handled",meta-method-review-recommended,2026-06-26
S22-001,extended-methods,S22,09-qualitative-mixed-implementation-economics,90,S21-001,not-started,Qualitative mixed implementation and economics laboratory,"interview guide; reflexive log; coding case; joint display; implementation logic model; economic model","method-question alignment; negative cases; probabilistic sensitivity included",qualitative-and-economic-review-recommended,2026-06-26
S23-001,capstone,S23,integrated,100,S22-001,not-started,Integrated cross-type capstone scaffold,"concept note; evidence map; protocol; DAG or mechanism; DMP; SAP; blank outputs; risk register","clinical statistical experimental omics synthesis and implementation interfaces explicit",human-topic-and-ethics-review-required,2026-06-26
S24-001,capstone,S24,integrated,101,S23-001,not-started,Red-team and independent reproducibility system,"red-team casebook; clean-room runner; expected-output manifest; audit report; correction workflow","major bias leakage pseudoreplication and conclusion-overreach tests included",independent-review-required,2026-06-26
S25-001,graduation,S25,integrated,102,S24-001,not-started,Graduation assessment and portfolio system,"unfamiliar-problem exam; unfamiliar-data exam; teaching exam; journal-review exam; portfolio rubric","all 78 competencies mapped; fatal-error rules enforced; independent examiner required",independent-examiner-required,2026-06-26
QA-001,quality,all,cross-cutting,110,S25-001,not-started,Full source-version and reporting-guideline audit,"official-source verification; version and date audit; obsolete-source replacement; maintenance calendar","time-sensitive sources verified or explicitly unresolved",specialist-review-for-regulatory-items,2026-06-26
QA-002,quality,all,cross-cutting,111,QA-001,not-started,Full-system integration consistency and link audit,"terminology and ID audit; cross-module mapping; link check; queue-ledger-status reconciliation","all automated checks pass; every competency maps to exercise artifact and assessment",independent-review-recommended,2026-06-26
QA-003,quality,all,cross-cutting,112,QA-002,not-started,Final adversarial review and clean-environment rebuild,"full red-team; fresh checkout rebuild; risk register; unresolved limitations; maintenance handover","P0 and P1 findings resolved; residual human dependencies explicit",independent-multidisciplinary-review-required,2026-06-26
